Genre,Feature,Statistic,P-value,Decision
dark_minimal_techno,loudness,0.6339443922042847,6.433537036443226e-10,Fail
dark_minimal_techno,dissonance_mean,0.8977450132369995,0.00040512383566237986,Fail
dark_minimal_techno,dynamic_complexity,0.9004960060119629,0.000498965207953006,Fail
dark_minimal_techno,pitch_salience_mean,0.8649576306343079,4.033587174490094e-05,Fail
dark_minimal_techno,spectral_centroid_mean,0.47583115100860596,4.108168232680454e-12,Fail
dark_minimal_techno,spectral_complexity_mean,0.9773730635643005,0.44727054238319397,Pass
dark_minimal_techno,spectral_decrease_mean,0.9444109797477722,0.02020832523703575,Fail
dark_minimal_techno,spectral_energy_mean,0.9852764010429382,0.7834235429763794,Pass
dark_minimal_techno,spectral_energyband_high_mean,0.9851889610290527,0.779699444770813,Pass
dark_minimal_techno,spectral_energyband_low_mean,0.9014102220535278,0.000535034341737628,Fail
dark_minimal_techno,spectral_energyband_middle_mean,0.9826785326004028,0.6690402030944824,Pass
dark_minimal_techno,spectral_entropy_mean,0.9307106137275696,0.005879472941160202,Fail
dark_minimal_techno,spectral_kurtosis_mean,0.7115349769592285,1.3409251486962148e-08,Fail
dark_minimal_techno,spectral_rms_mean,0.9812391400337219,0.6052761673927307,Pass
dark_minimal_techno,spectral_rolloff_mean,0.9002582430839539,0.0004900122876279056,Fail
dark_minimal_techno,spectral_skewness_mean,0.9189110994338989,0.002154131419956684,Fail
dark_minimal_techno,spectral_spread_mean,0.9452133178710938,0.02177167311310768,Fail
dark_minimal_techno,zerocr_mean,0.9333866834640503,0.007439755834639072,Fail
dark_minimal_techno,mfcc1_mean,0.9570988416671753,0.06720573455095291,Pass
dark_minimal_techno,mfcc2_mean,0.9799075126647949,0.5480678677558899,Pass
dark_minimal_techno,mfcc3_mean,0.983153760433197,0.690262496471405,Pass
dark_minimal_techno,mfcc4_mean,0.988469123840332,0.904066264629364,Pass
dark_minimal_techno,mfcc5_mean,0.9703290462493896,0.23867779970169067,Pass
dark_minimal_techno,mfcc6_mean,0.954923689365387,0.05453307181596756,Pass
dark_minimal_techno,mfcc7_mean,0.9672256112098694,0.17807796597480774,Pass
dark_minimal_techno,mfcc8_mean,0.9769977927207947,0.4334316849708557,Pass
dark_minimal_techno,mfcc9_mean,0.9316901564598083,0.006406349595636129,Fail
dark_minimal_techno,mfcc10_mean,0.9737246036529541,0.32585954666137695,Pass
dark_minimal_techno,mfcc11_mean,0.9854609966278076,0.7912359833717346,Pass
dark_minimal_techno,mfcc12_mean,0.9574001431465149,0.06918353587388992,Pass
dark_minimal_techno,mfcc13_mean,0.962618350982666,0.11444437503814697,Pass
dark_minimal_techno,chroma1_mean,0.8857822418212891,0.0001683984010014683,Fail
dark_minimal_techno,chroma2_mean,0.8786401152610779,0.00010177455260418355,Fail
dark_minimal_techno,chroma3_mean,0.8648700714111328,4.010391057818197e-05,Fail
dark_minimal_techno,chroma4_mean,0.8194162845611572,2.5316169285360957e-06,Fail
dark_minimal_techno,chroma5_mean,0.8110011219978333,1.5865512068558019e-06,Fail
dark_minimal_techno,chroma6_mean,0.7954419851303101,6.89561829858576e-07,Fail
dark_minimal_techno,chroma7_mean,0.7990215420722961,8.324573741447239e-07,Fail
dark_minimal_techno,chroma8_mean,0.8728212118148804,6.824380398029462e-05,Fail
dark_minimal_techno,chroma9_mean,0.849918007850647,1.5392097338917665e-05,Fail
dark_minimal_techno,chroma10_mean,0.7843048572540283,3.884986199409468e-07,Fail
dark_minimal_techno,chroma11_mean,0.9265551567077637,0.0041025918908417225,Fail
dark_minimal_techno,chroma12_mean,0.9737942218780518,0.32790079712867737,Pass
dark_minimal_techno,bpm,0.9213882088661194,0.0026476504281163216,Fail
dark_minimal_techno,danceability,0.8468338847160339,1.2713991054624785e-05,Fail
dark_minimal_techno,onset_rate,0.9456418752670288,0.022657865658402443,Fail
dark_minimal_techno,chords_changes_rate,0.9810055494308472,0.5950804948806763,Pass
dark_minimal_techno,chords_number_rate,0.9624818563461304,0.11294805258512497,Pass
dark_minimal_techno,chord,0.8774116039276123,9.346662409370765e-05,Fail
dark_minimal_techno,chord_strength,0.9515388607978821,0.039474453777074814,Fail
dark_minimal_techno,chord_scale,0.6344941854476929,6.563180554586268e-10,Fail
dark_minimal_techno,key,0.8491538763046265,1.4677271792606916e-05,Fail
dark_minimal_techno,key_scale,0.5301932692527771,2.0389833918499356e-11,Fail
dark_minimal_techno,key_strength,0.9674826264381409,0.18248794972896576,Pass
dark_minimal_techno,meter,0.40421241521835327,5.893204218891668e-13,Fail
dark_minimal_techno,pulse_clarity_mean,0.9029123783111572,0.000600418308749795,Fail
dark_minimal_techno,pulse_clarity_low_mean,0.9553797245025635,0.05697127431631088,Pass
dark_minimal_techno,pulse_clarity_middle_mean,0.78621906042099,4.282168504232686e-07,Fail
dark_minimal_techno,pulse_clarity_high_mean,0.7969298362731934,7.455326453964517e-07,Fail
dark_minimal_techno,attack_slope_mean,0.9672160148620605,0.17791540920734406,Pass
dark_minimal_techno,attack_slope_low_mean,nan,1.0,Pass
dark_minimal_techno,attack_slope_middle_mean,0.9761982560157776,0.4049679636955261,Pass
dark_minimal_techno,attack_slope_high_mean,0.9323920011520386,0.006814259570091963,Fail
dark_minimal_techno,spectral_flatness_mean,0.8776252865791321,9.485860209679231e-05,Fail
dark_minimal_techno,spectral_flatness_low_mean,0.5459412336349487,3.3214729577846214e-11,Fail
dark_minimal_techno,spectral_flatness_middle_mean,0.9099467992782593,0.0010409976821392775,Fail
dark_minimal_techno,spectral_flatness_high_mean,0.9488311409950256,0.030550211668014526,Fail
dark_minimal_techno,entropia_clarity,0.4170142412185669,8.234150123895279e-13,Fail
dark_minimal_techno,entropia_clarity_low,0.8744761943817139,7.638744136784226e-05,Fail
dark_minimal_techno,entropia_clarity_middle,0.9385249614715576,0.011783826164901257,Fail
dark_minimal_techno,entropia_clarity_high,0.7644104957580566,1.4548068349995447e-07,Fail
dark_minimal_techno,attack_time,0.9551901817321777,0.05594465136528015,Pass
dark_minimal_techno,attack_time_low_mean,0.9383014440536499,0.011547911912202835,Fail
dark_minimal_techno,attack_time_middle_mean,0.9090639352798462,0.0009705947013571858,Fail
dark_minimal_techno,attack_time_high_mean,0.7990654706954956,8.343923809661646e-07,Fail
dark_minimal_techno,spectral_flux_mean,0.949691653251648,0.03313460201025009,Fail
dark_minimal_techno,spectral_flux_low_mean,0.9481043219566345,0.028530292212963104,Fail
dark_minimal_techno,spectral_flux_middle_mean,0.9461789727210999,0.023821666836738586,Fail
dark_minimal_techno,spectral_flux_high_mean,0.9537564516067505,0.048767395317554474,Fail
psytrance,loudness,0.7358140349388123,3.8605200813890406e-08,Fail
psytrance,dissonance_mean,0.9400553107261658,0.013540662825107574,Fail
psytrance,dynamic_complexity,0.9787288904190063,0.499686598777771,Pass
psytrance,pitch_salience_mean,0.9710898399353027,0.2561805844306946,Pass
psytrance,spectral_centroid_mean,0.3886675238609314,3.9528504167801737e-13,Fail
psytrance,spectral_complexity_mean,0.9869890809059143,0.8525728583335876,Pass
psytrance,spectral_decrease_mean,0.9854372143745422,0.7902316451072693,Pass
psytrance,spectral_energy_mean,0.8733869791030884,7.091929001035169e-05,Fail
psytrance,spectral_energyband_high_mean,0.8782066702842712,9.875744581222534e-05,Fail
psytrance,spectral_energyband_low_mean,0.9313830137252808,0.0062360092997550964,Fail
psytrance,spectral_energyband_middle_mean,0.8883893489837646,0.0002031367621384561,Fail
psytrance,spectral_entropy_mean,0.967738151550293,0.18697497248649597,Pass
psytrance,spectral_kurtosis_mean,0.8789831399917603,0.00010423153435112908,Fail
psytrance,spectral_rms_mean,0.9513705372810364,0.038848135620355606,Fail
psytrance,spectral_rolloff_mean,0.9758304357528687,0.3923446536064148,Pass
psytrance,spectral_skewness_mean,0.9180247783660889,0.002002005698159337,Fail
psytrance,spectral_spread_mean,0.9823695421218872,0.6552601456642151,Pass
psytrance,zerocr_mean,0.9817654490470886,0.6284344792366028,Pass
psytrance,mfcc1_mean,0.9762036800384521,0.40515637397766113,Pass
psytrance,mfcc2_mean,0.9412903785705566,0.015157656744122505,Fail
psytrance,mfcc3_mean,0.97028648853302,0.23773092031478882,Pass
psytrance,mfcc4_mean,0.9711701273918152,0.2580927908420563,Pass
psytrance,mfcc5_mean,0.9050016403198242,0.0007057562470436096,Fail
psytrance,mfcc6_mean,0.991041898727417,0.9673717617988586,Pass
psytrance,mfcc7_mean,0.9905393123626709,0.9579236507415771,Pass
psytrance,mfcc8_mean,0.9679077863693237,0.19001097977161407,Pass
psytrance,mfcc9_mean,0.9867472052574158,0.8433324098587036,Pass
psytrance,mfcc10_mean,0.9677170515060425,0.186600461602211,Pass
psytrance,mfcc11_mean,0.9496185183525085,0.03290645405650139,Fail
psytrance,mfcc12_mean,0.9822048544883728,0.6479260921478271,Pass
psytrance,mfcc13_mean,0.9766401052474976,0.4205252528190613,Pass
psytrance,chroma1_mean,0.7553889155387878,9.475137119352439e-08,Fail
psytrance,chroma2_mean,0.8339033126831055,5.831061116623459e-06,Fail
psytrance,chroma3_mean,0.6519614458084106,1.2503528212803872e-09,Fail
psytrance,chroma4_mean,0.5690622329711914,6.947128983192385e-11,Fail
psytrance,chroma5_mean,0.7442530393600464,5.6555059302354493e-08,Fail
psytrance,chroma6_mean,0.7763073444366455,2.6011011300397513e-07,Fail
psytrance,chroma7_mean,0.7346348762512207,3.662195169340521e-08,Fail
psytrance,chroma8_mean,0.8506177067756653,1.607898775546346e-05,Fail
psytrance,chroma9_mean,0.7689999341964722,1.8164206494475366e-07,Fail
psytrance,chroma10_mean,0.6451278924942017,9.69256008787056e-10,Fail
psytrance,chroma11_mean,0.7009387612342834,8.603611156843272e-09,Fail
psytrance,chroma12_mean,0.8872581720352173,0.0001872140564955771,Fail
psytrance,bpm,0.975213348865509,0.3718414008617401,Pass
psytrance,danceability,0.78875732421875,4.876060870628862e-07,Fail
psytrance,onset_rate,0.9410282969474792,0.014798407442867756,Fail
psytrance,chords_changes_rate,0.9930080771446228,0.9911531805992126,Pass
psytrance,chords_number_rate,0.9641914367675781,0.13316887617111206,Pass
psytrance,chord,0.8973239064216614,0.00039249390829354525,Fail
psytrance,chord_strength,0.9836717844009399,0.7133505344390869,Pass
psytrance,chord_scale,0.6362418532371521,6.993863266302469e-10,Fail
psytrance,key,0.8567906618118286,2.37477506743744e-05,Fail
psytrance,key_scale,0.5879474878311157,1.2953672856585996e-10,Fail
psytrance,key_strength,0.9596377015113831,0.08583889156579971,Pass
psytrance,meter,0.3150503635406494,6.544213819936404e-14,Fail
psytrance,pulse_clarity_mean,0.844117283821106,1.0762239071482327e-05,Fail
psytrance,pulse_clarity_low_mean,0.9879077672958374,0.8856467008590698,Pass
psytrance,pulse_clarity_middle_mean,0.8750135898590088,7.924826786620542e-05,Fail
psytrance,pulse_clarity_high_mean,0.946466863155365,0.02447090670466423,Fail
psytrance,attack_slope_mean,0.9705676436424255,0.24404677748680115,Pass
psytrance,attack_slope_low_mean,0.9788585901260376,0.5048919320106506,Pass
psytrance,attack_slope_middle_mean,0.9794618487358093,0.5294942259788513,Pass
psytrance,attack_slope_high_mean,0.9621467590332031,0.1093561127781868,Pass
psytrance,spectral_flatness_mean,0.8736730813980103,7.231430936371908e-05,Fail
psytrance,spectral_flatness_low_mean,0.30747824907302856,5.482837491313508e-14,Fail
psytrance,spectral_flatness_middle_mean,0.8624721765518188,3.427121919230558e-05,Fail
psytrance,spectral_flatness_high_mean,0.9787546396255493,0.500717043876648,Pass
psytrance,entropia_clarity,0.3207167387008667,7.47773764024802e-14,Fail
psytrance,entropia_clarity_low,0.7175407409667969,1.732419896427473e-08,Fail
psytrance,entropia_clarity_middle,0.8406252861022949,8.706845619599335e-06,Fail
psytrance,entropia_clarity_high,0.8568542003631592,2.3844368115533143e-05,Fail
psytrance,attack_time,0.9165717363357544,0.0017766354139894247,Fail
psytrance,attack_time_low_mean,0.9483304023742676,0.029143307358026505,Fail
psytrance,attack_time_middle_mean,0.9581907987594604,0.07465891540050507,Pass
psytrance,attack_time_high_mean,0.9779647588729858,0.4696901738643646,Pass
psytrance,spectral_flux_mean,0.9668591618537903,0.17196564376354218,Pass
psytrance,spectral_flux_low_mean,0.9722343683242798,0.28467148542404175,Pass
psytrance,spectral_flux_middle_mean,0.988281786441803,0.8980822563171387,Pass
psytrance,spectral_flux_high_mean,0.9726819396018982,0.2965441942214966,Pass
progressive_house,loudness,0.8508754968643188,1.6340134607162327e-05,Fail
progressive_house,dissonance_mean,0.9586670398712158,0.07816668599843979,Pass
progressive_house,dynamic_complexity,0.9179677367210388,0.001992604462429881,Fail
progressive_house,pitch_salience_mean,0.8630388379096985,3.556352749001235e-05,Fail
progressive_house,spectral_centroid_mean,0.5784115791320801,9.434770326111064e-11,Fail
progressive_house,spectral_complexity_mean,0.9195928573608398,0.0022794310934841633,Fail
progressive_house,spectral_decrease_mean,0.9908959269523621,0.9647770524024963,Pass
progressive_house,spectral_energy_mean,0.9764919877052307,0.4152625501155853,Pass
progressive_house,spectral_energyband_high_mean,0.9773250818252563,0.4454839825630188,Pass
progressive_house,spectral_energyband_low_mean,0.9573000073432922,0.06851998716592789,Pass
progressive_house,spectral_energyband_middle_mean,0.9821586012840271,0.6458689570426941,Pass
progressive_house,spectral_entropy_mean,0.9629724025726318,0.1184186115860939,Pass
