loudness,dissonance_mean,dynamic_complexity,pitch_salience_mean,spectral_centroid_mean,spectral_complexity_mean,spectral_decrease_mean,spectral_energyband_high_mean,spectral_energyband_low_mean,spectral_energyband_middle_mean,spectral_energyband_middle_high_mean,spectral_energyband_middle_low_mean,spectral_entropy_mean,spectral_kurtosis_mean,spectral_rms_mean,spectral_rolloff_mean,spectral_skewness_mean,spectral_spread_mean,zerocr_mean,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,onset_rate,chords_changes_rate,chords_number_rate,chord,chord_strength,chord_scale,key,key_scale,key_strength,meter,pulse_clarity_low_mean,pulse_clarity_middle_low_mean,pulse_clarity_middle_mean,pulse_clarity_middle_high_mean,pulse_clarity_high_mean,attack_slope_low_mean,attack_slope_middle_low_mean,attack_slope_middle_mean,attack_slope_middle_high_mean,attack_slope_high_mean,spectral_flatness_low_mean,spectral_flatness_middle_low_mean,spectral_flatness_middle_mean,spectral_flatness_middle_high_mean,spectral_flatness_high_mean,entropia_clarity_low,entropia_clarity_middle_low,entropia_clarity_middle,entropia_clarity_middle_high,entropia_clarity_high,attack_time_low_mean,attack_time_middle_low_mean,attack_time_middle_mean,attack_time_middle_high_mean,attack_time_high_mean,spectral_flux_low_mean,spectral_flux_middle_low_mean,spectral_flux_middle_mean,spectral_flux_middle_high_mean,spectral_flux_high_mean,bpm
0.007363277211473988,0.146325851099364,-0.10615834364571897,0.19767070236459872,-0.04885378187550443,0.19806294853354414,0.19147096902327554,-0.14359061562575362,0.1540644289414778,-0.15058653528220814,0.1680584878722184,-0.07775229564078848,0.18917140958871778,-0.09309840695272645,-0.1319688085251508,0.18799801552725326,-0.13660742047425364,0.028946147077357855,0.1986732135871169,0.18536658899514039,-0.1669552995053959,-0.13577183595762987,-0.09019489848780017,-0.06564506104567702,-0.04292776095592913,-0.01178026683123312,-0.021757903489804553,-0.013274594148911297,0.013432328711019277,-0.009364092068164732,0.006881513824876904,-0.005859228531198666,-0.07308961640832282,0.02067013509471899,0.04846726919054159,0.043991691490842595,0.06501816586338682,0.007935364574550793,0.025994339654434515,0.020490839819660957,-0.005535373475837367,0.027738009399546036,-0.13156331451016726,0.02835666588345225,0.1302720620844709,0.11941387763622806,0.08838063025941144,0.06564203993794852,0.09551296438943455,0.2004209961263342,0.21124639298637327,0.20672509485449772,-0.020553831011468127,-0.008313892151914921,-0.03220669600477002,-0.1558225765461551,0.04715416861500683,-0.037211643512598376,0.010852509697926536,0.1062858453397754,0.12299192603539583,0.11447681765793115,-0.08665927941826461,-0.13411736992606024,-0.1557943725150198,-0.1313680247086301,-0.12579071271929226,-0.0015373457255848685,0.08302494334627543,0.19730784760508546,0.20394672681233278,0.19927248276615148,-0.054031942267878434
-0.08015567356960861,-0.1975444819781238,0.03977389160625522,0.008514865945599775,0.05732810122988374,-0.11075956422114008,-0.005641209373984622,-0.16947153910549967,-0.1286111698170894,-0.17806261583447114,0.011398266801228242,0.1939738695242575,-0.13602689956552066,0.11669517172281388,-0.18546763373304706,0.0011130531966477531,0.1662019939598016,-0.16737185462653312,-0.016885224089131227,-0.03493575548207226,0.16768246031799933,-0.047723920863894854,-0.12215497514909124,-0.21421454718957605,-0.20262032202326924,-0.22852423530148422,-0.2202316586299907,-0.19840844970858967,-0.18772785056479227,-0.15308813358257445,-0.1673431876256508,-0.12627251909004295,0.037266932414942236,-0.12529292227584982,-0.05289405768390052,-0.02758778316644546,-0.17857805479244093,-0.09566415988864846,-0.02472782707970677,-0.0295564166197853,0.10870341193671668,0.04880962535476559,-0.16318061810959902,0.1858736156535417,0.1469659550243186,0.0268581851272744,0.013076995708990366,0.008354652069555712,0.08954234800652314,0.03639698108569363,-0.03110361341876488,-0.046493897924789515,0.026553234645231866,0.015525257424685534,-0.15729663431196358,0.006011237692997307,0.005787861868338383,-0.11338375467991801,0.055313004230415914,0.05630292349845935,-0.005316102590109414,-0.014340251624656637,-0.20474876501503259,-0.1958416130167931,-0.024054791233888446,0.045993950628392274,0.037261053204086014,-0.11145505064186693,0.05666219582100987,0.01914350335832847,-0.037859577209641664,-0.05723850886832662,-0.01488167904935464
-0.1458530501479552,-0.022604165850064084,0.2750342995696918,0.13873504111671764,0.2727863515261666,0.10555697518804003,-0.061240149948925,-0.09686372645870145,0.022944691501890758,-0.07827382913218955,-0.048324458362547396,-0.1910404719283882,-0.04628985730913898,0.0753487423968372,-0.1340521256427199,0.15252701938915028,0.05015125470033036,-0.06703046064662796,0.10660286209553423,-0.1708547754341123,-0.08226956486818897,-0.05454991088198774,-0.0016922013297690417,-0.040247484307348105,-0.028734236075839123,0.031200816055155726,0.021344837293181134,0.04282023216291813,0.037073718206234625,0.09299575860863675,0.075608481073478,0.09193646968927909,-0.1927941971302541,-0.015279151291197246,0.06332241954406342,0.07336760085441105,-0.006905321291316778,0.021757877647920573,0.1412124492888079,0.11967474169899908,0.03757007674797286,0.1766670520027648,-0.08705424082855023,-0.030042682216317746,0.07633080544089355,0.14063293239088046,0.06007326654627497,-0.027925874284645293,-0.2101862405064688,-0.053069564025839885,-0.0012613575114988086,-0.015675717380040394,0.2180871439768209,0.23076525263319228,0.09707728726195546,0.0712662969957679,0.125419649137034,-0.1322215883372843,-0.13140322628722612,-0.11526847827246231,-0.09086037370403936,-0.09607476448493792,0.1210661329318674,0.09006492504622168,0.12779772034194875,0.14458069002181373,0.16055744527087287,-0.17942099489634014,-0.12189833222302733,0.017814181505167923,0.06386377057967871,0.04551533749028397,-0.25903158607208643
-0.00831225633533552,-0.04773710995028986,0.07289327240755382,0.0073645519453536465,0.029138169141546655,-0.009327916894111141,-0.17004374806416622,0.02190396175154674,0.1868434067665976,0.022674858653677132,-0.23907116530400083,0.061113474521815064,0.023993668397963526,-0.015921929365109888,0.0055687595092998345,0.09081658843847927,-0.0758518711470932,0.31555013860431347,0.11471347527138635,-0.06699180906214665,-0.12752799647927238,0.3130156937374723,0.1311194083827207,0.12868926695103225,0.0386688849466935,-0.02360349347341454,-0.11023291668323895,-0.16720913584919653,-0.17163889132348992,-0.1976220024985354,-0.1618009159600856,-0.11011609376016362,0.02869349927044913,-0.06402581776748592,-0.13402784838206186,-0.04464355988984588,0.05518757773014306,0.03707338231903784,-0.04383144165034463,-0.06371438130802778,0.011553635902560833,-0.02581285259483602,-0.13981824375248367,0.0893247980653849,-0.09702685663266673,0.17099181110226236,0.28234766332442146,0.04780587226410082,0.049788434064951155,-0.10094459720238952,0.010576665991604263,0.0510549121867049,0.06575865129380033,0.07840337090184495,0.33924247107372113,0.11183066334144347,0.04443604643885086,-0.059039666199429644,0.13147966187401283,0.045228116365711946,0.12171314436655632,0.14909788372614846,-0.07685666889728848,0.054388198491469406,0.05140794190395035,-0.023181939046589,0.004827446151688098,0.044340150267584824,0.08662668041933397,-0.08930754687514537,0.029542800568637867,0.07829700629075736,0.022600322380464707
0.052429028662924926,0.01259167077930537,0.03583707814960567,-0.02114390307517844,0.06013681424918714,-0.02257454226325764,0.008274551102658567,-0.08569907948823724,-0.059862149274669735,-0.08247763359456728,0.0311308942762602,0.029985350354306606,-0.045887368402263845,0.14250158607351732,-0.06611422598386293,-0.013137387292314211,0.09638972227050789,-0.025889865327539393,-0.017087967501375066,-0.07092478145348119,-0.00873293683402051,0.035307254571500434,0.06834981723087397,0.09024612211177847,0.08634942136190955,0.054439754442029455,-0.005962337622133515,-0.031462378589027756,-0.0964865640177093,-0.18439978565362466,-0.11099803239392467,-0.104598018084307,-0.03395663050269402,0.16109347651023084,0.15207136211090272,-0.022368420214928554,0.14222090657287334,0.05269346981354529,0.012451842495493977,-0.029039210416022816,-0.14538164368970743,-0.14179138320298065,0.13442477489908383,0.032802430916059985,-0.05818354540216907,-0.17314117335493664,-0.17258623122861985,-0.03674733910643036,0.2190962281105676,0.15142523654195753,0.12202434922271752,0.11871280099748088,0.1022878599050701,0.1005553646152738,0.006955305550674132,0.03587713991570751,0.21878136113929914,0.03400925754268574,-0.11246205580206949,-0.1545535438654667,-0.16262226347940806,-0.1600780088149213,-0.041347069738953815,0.07500382643152487,0.16312367550525642,0.1364420018883941,0.1529504037181961,0.28744124832745593,0.3716098609917739,0.2081076215131335,0.1410728839011446,0.13322558997745423,0.02165274895009825
-0.11432204614806633,0.04773014859977706,-0.03133783748544977,0.019987406754681164,-0.018002350988054167,0.027804175462389946,-0.047023540141262476,-0.030535249815148227,0.00034311421505489603,-0.028567853058286213,-0.0593665931121367,0.014901843701158546,0.09462870992953476,-0.1895075289393756,-0.0409301188848957,0.022129723895496528,-0.1802610949159157,0.09975232547481197,0.04961346673952361,0.0572425952496126,-0.0895762821434753,-0.030533252410891575,0.017719183722787513,0.059291587559059784,0.02963252019492435,-0.05230737667286099,-0.11233659112074343,-0.16177282502373022,-0.18909500914188454,-0.14481409173859924,-0.12413094763323868,-0.06685601456469202,-0.015390005011319185,-0.09956978846135871,-0.06118969022849543,0.15458742993242788,0.04086944329052886,-0.03414836799159276,-0.021676745449902286,0.08241155464274574,0.1370508389921067,0.017141517535390338,0.13200208206621616,-0.08951654125886484,-0.09352306031342797,-0.07527597559405597,-0.13697088967497267,0.047310770888954766,-0.02167972147755601,-0.05287904516538126,-0.03551142687223869,-0.028043054118618096,-0.07879282750989645,-0.07437874752663569,0.04089391595772732,-0.07264422956806003,-0.08209513617618076,-0.1404086448390794,-0.30263191874711093,-0.3626474465145804,-0.32958245040482925,-0.31987314124594163,-0.04401770425829973,-0.02883933986395963,-0.1419817437900099,-0.20340974641561543,-0.22225997005052478,-0.09552404788945523,-0.06121795604944495,-0.06325086608091235,-0.03127499875156134,-0.02824499633347149,-0.0527801751743427
-0.16820101371726387,0.1846098806027854,0.1147433747045794,-0.018355142255951334,0.18099473469266258,0.044290129128333244,0.05532218847957601,-0.08906097006843217,-0.11679391134064854,-0.0819345707179901,0.07741796338920665,-0.046632548971796,0.1097243801630321,-0.02099910254559334,-0.08459533387551406,-0.05193493022830823,-0.09054053351315312,-0.08895574034863127,-0.0045594596429145845,0.055848730364358355,-0.04351464913388403,-0.17216105862618283,0.022468733148156134,0.0867181291830967,0.14978078016299262,0.0647334008828836,0.03480469531432513,-0.14376401870258984,-0.13349795276167578,-0.14841662570255404,-0.14999365946940887,-0.13324648333307715,0.0456728658856816,0.1607417372720543,0.09806167206177198,-0.05371021026773233,0.2621593191364008,0.04923486811986107,0.03312793963630718,0.21415861414994905,-0.04031376719567705,0.032925324612505774,0.057923433278070494,0.020201699276294238,-0.026022882406266695,-0.07495796706865188,-0.06908278462060254,-0.0012007958331333101,-0.06113010456132192,-0.061766460713595234,-0.08385184971379875,-0.0969004393325079,0.2655263877988795,0.25509974162714627,-0.016550454316089324,-0.06384344600077017,-0.22029592132378656,0.23528944000020705,0.17749229567586464,0.12029602098719175,0.14709004775989873,0.08399690287612151,-0.1322845743344472,0.015154984374159202,-0.07325077414044436,-0.041275772815812,-0.02009243524582771,-0.018760751906014797,-0.07959417922600788,-0.11073827049722668,-0.1603964597811146,-0.17206592930688702,0.14871145267221497
0.0881572325604195,-0.04392446368577724,-0.033879258656083266,-0.03374778065433024,0.0876857959289463,-0.03538815052039132,0.08437920505324578,0.1673077418331369,0.053505410468367556,0.14130146091009257,0.1090499526754461,0.13568630313610847,0.07162095345684907,-0.00043768429957186106,0.16395224782253853,-0.008736009513643395,0.04720672113707919,0.1477998148570908,0.03346288195527986,0.1212927900261783,0.012686214829381962,0.03442313330118984,-0.2351512477953628,-0.07473501922811306,-0.19333081768513904,-0.08748576366641607,-0.14584050215729014,-0.04373363957170477,-0.11881915515147756,0.09414384789453471,0.10726565952130862,0.21422052834533623,0.08383965626970076,-0.15776760813975407,-0.020301051098847,0.04954988372649992,-0.08171912552502252,-0.051089437909331945,0.03955402078344444,0.16197846047241593,0.016613163295361007,0.027394942845851984,0.15106767251356762,-0.1451989338242026,0.011202204373310038,-0.20797440945193593,-0.10963464073157698,0.08023898310599767,0.10735357882661095,0.07804781709591442,0.03888854403619868,0.07439322353649813,0.29595409749878454,0.30901988261963453,0.2149101937744443,0.21372818997566642,0.20333640921328347,0.1990011256431993,0.10445762758508655,0.0024318624652796884,-0.015117089773754979,-0.03564821006163844,0.010265970899402186,-0.1342496575737705,-0.06512165356775645,-0.05880369050238327,-0.06341234644035114,-0.041672949198412655,-0.04711987674732197,0.024454930251744347,-0.015316394914026654,0.03485781017656161,-0.023388086286906026
-0.1869112087487579,-0.013441011970179134,-0.08721653175270622,0.08597359633447231,-0.12074734844101363,0.043293142175118024,0.14353362437419082,0.027634549392690277,0.16444902214905588,0.014024419706627475,0.14687441246244615,-0.007373552665675076,-0.009796452114223697,0.28789041887936817,0.028433459053392923,0.08813558057803877,0.23705050656753834,0.07764785391902429,0.10002121298045606,0.06929002210638863,0.0031019751555549403,0.047239096091826735,-0.1927700936880524,0.11318948444731684,0.08977494878870582,0.22443993117135475,0.2021089330393991,0.06287066141774382,-0.02022562519589567,-0.07403700591639595,-0.24092224594225745,-0.2208566718979017,-0.03125274136829252,-0.07859184674211593,-0.1395108628201282,0.011984920663247961,0.05516059997555141,-0.14991948465165467,-0.05823307685912261,-0.07880138782384265,0.08362327805524394,-0.1088624411244014,0.04510038498588026,0.11684727076108956,-0.0416102769633196,-0.14045623764025483,-0.03894922638985641,0.22221681295264545,-0.169201590247312,0.024252586424468328,0.043811983751551056,0.07649412180664839,-0.0753614774549567,-0.0803710690713308,0.028793985954451738,0.08665035933628414,0.026991983033907603,0.12763641357184974,0.041065149016439845,-0.04999306673757447,-0.0690149324857241,-0.0381317892191423,0.016863223786845283,-0.05286796445494382,0.008279818195544174,0.1647474052007642,0.13918601915736978,-0.23293289891280297,-0.24702741502715733,-0.012558374875345042,0.018132602486048036,0.06287811749440284,0.05850123286001505
-0.063877107573281,-0.04388058609516637,-0.046890154509916356,-0.015446013891367273,-0.020090036183923184,-0.012641893379980066,0.047014203675280475,0.11849372566412703,0.06788420166378911,0.09321738189138265,-0.008934515157412667,0.18698188586053244,0.004713568510082235,0.08580450976309331,0.12050816323429621,0.002026386627818011,0.0642578730888678,0.06398018045199985,0.015887439810440385,0.06406205160777523,0.0011322138416980376,0.05110923423014718,-0.030545573434261314,0.0011233379681265948,-0.08146921663593748,-0.03310831689633394,-0.14574406026645328,-0.0775551847829535,-0.09513690851626407,0.014667902433985719,-0.018698797558942645,0.02271529433406958,-0.26191829204226613,0.3405611770949554,0.3834535830867224,0.01109641644536402,0.10482801048864113,-0.017735761523658383,0.3161690718484285,0.12075735611597745,-0.2784540241846841,0.1465496201603803,-0.07934894984328214,0.29886034084430385,-0.07803815220380637,-0.05216117717468692,0.017972093240081154,0.03254181249251072,-0.05714794952892549,-0.06634468084611747,-0.04910279985607361,-0.03743379156463977,-0.18047436879234144,-0.1822525116576258,-0.006445840806910693,0.050009209008980246,0.04284746293698736,-0.00926231364030254,0.1338126128168802,-0.04957078958503475,-0.05056637780991672,0.008998722065620683,0.10487186788658187,-0.05475568247601944,-0.05244583207002139,-0.10935830892625738,-0.06461908151786525,-0.08747092814741059,0.006330813569513391,-0.05114607435872088,-0.036310986960724115,-0.017942757981954736,-0.17683571706621865
