Class,Feature,B (β),SE,Wald χ²,p-value
Dark minimal techno,Loudness,-0.5347721731252609,0.05429533337083086,97.00912632116128,6.900851721436042e-23
Dark minimal techno,Dissonance,-0.12189498478816806,0.14329449090627125,0.723623541605887,0.39495788790410147
Dark minimal techno,Dynamic complexity,-0.25414362070461555,0.1429856991217976,3.1591716207307816,0.07550148595962387
Dark minimal techno,Pitch salience,-0.05572701406183188,0.26679295476507114,0.04362976092171566,0.8345439608581687
Dark minimal techno,Spectral centroid,-0.054688145390941835,0.09388870725954902,0.33928110394092126,0.560244476532128
Dark minimal techno,Spectral complexity,0.15311700067588155,0.28688085552697934,0.28486801673333784,0.5935281532097729
Dark minimal techno,Spectral decrease,-0.1655895409423848,0.20262993807361634,0.6678187078353404,0.41381313995082825
Dark minimal techno,Spectral energyband high,0.12977391420132356,0.9271436506888953,0.01959208926208724,0.8886823151907841
Dark minimal techno,Spectral energyband low,0.16611810569820196,0.15387591614056478,1.165447291345161,0.28033867813424007
Dark minimal techno,Spectral energyband middle,0.31019938115331086,0.9539524821021332,0.10573733723487883,0.7450503081639264
Dark minimal techno,Spectral entropy,1.3665619688291772,0.3271861076440026,17.44491870893536,2.957537848981113e-05
Dark minimal techno,Spectral kurtosis,0.04921700211287277,0.16847952075170924,0.08533674553116234,0.7701914061598966
Dark minimal techno,Spectral rolloff,-0.47043906078908126,0.32177532899571754,2.13747607569139,0.14373820384075234
Dark minimal techno,Spectral skewness,-0.09817876778160207,0.33532747010462227,0.08572290682705026,0.7696866893822442
Dark minimal techno,Spectral spread,-0.8165258916253861,0.21799623346059874,14.029491854304268,0.0001799657744372605
Dark minimal techno,Zerocr,0.5261304582095012,0.38136743531485506,1.9032668181322776,0.16771311353031113
Dark minimal techno,Mfcc1,-1.422549089167878,0.3196900252594867,19.80050888124153,8.595978797018462e-06
Dark minimal techno,Mfcc2,0.37843521303364885,0.2349359981757768,2.594680852151697,0.10722303604852944
Dark minimal techno,Mfcc3,0.9697137556128038,0.17391452300060758,31.08961990939853,2.4638545383334895e-08
Dark minimal techno,Mfcc4,-0.20981806617564092,0.133549066016323,2.4683347063652983,0.11616093807531068
Dark minimal techno,Mfcc5,0.485480775821071,0.10634782136796628,20.839480085955977,4.994278211836649e-06
Dark minimal techno,Bpm,-0.07258539941535955,0.06396923773102607,1.2875265420695672,0.25650427827256506
Dark minimal techno,Onset rate,-0.16036626003147825,0.07407941592369548,4.686308802811271,0.030403893810202896
Dark minimal techno,Chords changes rate,0.46116773812056183,0.06977200163618406,43.68732676261783,3.852585210192824e-11
Dark minimal techno,Chords number rate,-0.46848950198755696,0.07466738166351858,39.36750419805372,3.5109139996205744e-10
Dark minimal techno,Key scale,0.007483815846970686,0.05465662533947433,0.018748242295827056,0.8910906935584286
Dark minimal techno,Pulse clarity low,-0.4394728587978988,0.15089774907193135,8.482006378305742,0.003586763052000962
Dark minimal techno,Pulse clarity middle,-0.23763551744093667,0.08894415663456803,7.1381860002199256,0.00754594532472341
Dark minimal techno,Pulse clarity high,0.018900723485006023,0.15904614146278026,0.014122467443303675,0.9054037116793014
Dark minimal techno,Attack slope low,0.3659364874079354,0.08901696405235317,16.89918938753474,3.941841275325144e-05
Dark minimal techno,Attack slope middle,-0.11316906018761315,0.19598562545554923,0.33343177174465133,0.5636452898083277
Dark minimal techno,Attack slope high,0.9514924433239583,0.2010760350409378,22.391854382093957,2.2231489636112785e-06
Dark minimal techno,Spectral flatness low,0.014731958673214834,0.16231826236412178,0.00823732524259613,0.9276835233933877
Dark minimal techno,Spectral flatness middle,0.11862417947047206,0.141496310844185,0.7028395775625332,0.4018311968756072
Dark minimal techno,Spectral flatness high,-0.4558535871816667,0.10347859530790963,19.40661115172271,1.0564072750787629e-05
Dark minimal techno,Attack time low,-0.21018797521380514,0.11499019778378759,3.341135518032679,0.06756796472378099
Dark minimal techno,Attack time middle,0.16691552004359816,0.09891923635381296,2.8472914878467193,0.09152801668951087
Dark minimal techno,Attack time high,0.00437768985920575,0.06833103801307933,0.004104440313433588,0.9489177491135035
Dark minimal techno,Spectral flux low,0.37105384448430256,0.11228616538673823,10.919968102598318,0.0009513324728502745
Dark minimal techno,Spectral flux middle,-0.13990898953298694,0.22560151127740985,0.384598185340164,0.5351525808140751
Dark minimal techno,Spectral flux high,-1.1871219188839137,0.24865857683077147,22.792069486711647,1.8050904304032367e-06
Psytrance,Loudness,0.6807845454768207,0.19290758836797303,12.454341013960013,0.00041702147899132843
Psytrance,Dissonance,1.7923580640936563,0.20280541932990656,78.1070861486353,9.760318590274351e-19
Psytrance,Dynamic complexity,-0.39105884487530274,0.18088431583479705,4.673932144393149,0.03062373587300676
Psytrance,Pitch salience,0.041052769162958566,0.26660128091438756,0.023711577668761672,0.8776210572807541
