,Loudness,Dissonance,Dynamic complexity,Pitch salience,Spectral centroid,Spectral complexity,Spectral decrease,Spectral energyband high,Spectral energyband low,Spectral energyband middle,Spectral entropy,Spectral kurtosis,Spectral rolloff,Spectral skewness,Spectral spread,Zerocr,Mfcc1,Mfcc2,Mfcc3,Mfcc4,Mfcc5,Bpm,Onset rate,Chords changes rate,Chords number rate,Key scale,Pulse clarity low,Pulse clarity middle,Pulse clarity high,Attack slope low,Attack slope middle,Attack slope high,Spectral flatness low,Spectral flatness middle,Spectral flatness high,Attack time low,Attack time middle,Attack time high,Spectral flux low,Spectral flux middle,Spectral flux high
Dark minimal techno,-0.5347721731252609,-0.12189498478816806,-0.25414362070461555,-0.05572701406183188,-0.054688145390941835,0.15311700067588155,-0.1655895409423848,0.12977391420132356,0.16611810569820196,0.31019938115331086,1.3665619688291772,0.04921700211287277,-0.47043906078908126,-0.09817876778160207,-0.8165258916253861,0.5261304582095012,-1.422549089167878,0.37843521303364885,0.9697137556128038,-0.20981806617564092,0.485480775821071,-0.07258539941535955,-0.16036626003147825,0.46116773812056183,-0.46848950198755696,0.007483815846970686,-0.4394728587978988,-0.23763551744093667,0.018900723485006023,0.3659364874079354,-0.11316906018761315,0.9514924433239583,0.014731958673214834,0.11862417947047206,-0.4558535871816667,-0.21018797521380514,0.16691552004359816,0.00437768985920575,0.37105384448430256,-0.13990898953298694,-1.1871219188839137
Psytrance,0.6807845454768207,1.7923580640936563,-0.39105884487530274,0.041052769162958566,0.16496929597020485,0.5492070641865803,-0.18051715774272778,0.14869387326044964,0.5580079332423904,-0.6218508343896764,-1.8000307063417103,0.22198656967103497,-0.2645709412276146,0.045950172807181035,0.8354750845842699,0.3921940438875087,1.812029661413047,0.5399021252620152,-0.5431268132331286,0.10918318771871946,-0.3337856006974159,0.4473483445631077,0.7571836073951539,0.13395868587914908,-0.029771146148889538,-0.16869688799177185,0.42062336667764566,0.2669209648615289,0.181885475443628,-0.4676887482839912,-0.05732233518952851,-0.7284399111662622,0.3186814485397016,-0.15480862469991413,0.16995736415266247,-0.4468248114478633,-0.2926317346424365,-0.0091266436754972,1.5431247828548444,0.16455489167772006,-0.5757520499941758
Progressive house,-0.11615680099224858,-0.6006372425588573,0.3095251736867603,0.04948663517047875,0.02772047498695533,-1.4266126221338622,0.25404863752770357,-0.5220627764217811,-0.1191566776414964,0.545732695425657,0.37604549391750924,0.08179460020552393,0.2695678582814904,0.10194974555600404,-0.34774328529060883,0.17733924931735182,0.6856831481878977,-0.4617265008475716,0.06277327267563049,0.14995640115519496,-0.03450222594743129,-0.31882142972398436,0.18480510372395817,-0.5102615777457997,0.056811604277495834,0.0930222294123689,-0.30450459136188207,-0.30747921638990017,-0.16503993298043423,-0.14961175192747064,0.49823220686886666,-0.3213899544425134,-0.7271215725037627,0.19235911516120613,0.041701664508016455,-0.3085894305032998,0.13650228525914349,0.017603168959987786,-0.28390790351524564,-0.7527396950692248,0.4144544737380308
Dubstep,-0.029855571359312286,-1.0698258367466038,0.3356772918931752,-0.03481239027155851,-0.13800162556627668,0.7242885572713836,0.09205806115741254,0.2435949889600038,-0.6049693612990913,-0.23408124218931103,0.05742324359502213,-0.3529981719893976,0.46544214373522147,-0.04972115058159479,0.32879409233172247,-1.0956637514143543,-1.0751637204330882,-0.4566108374481263,-0.4893602150552807,-0.0493215226983367,-0.11719294917623965,-0.05594151542375471,-0.7816224510876335,-0.08486484625392694,0.4414490438589661,0.0681908427324317,0.32335408348217204,0.27819376896928794,-0.03574626594811363,0.25136401280353277,-0.3277408114916705,0.09833742228484608,0.39370816529084135,-0.1561746699317612,0.24419455852100663,0.9656022171649206,-0.010786070660289757,-0.012854215143740962,-1.6302707238238845,0.7280937929244583,1.3484194951400594
