Class,Feature,B (β),SE,Wald χ²,p-value,CI Lower (95%),CI Upper (95%)
Dark minimal techno,Loudness,-0.4121808156017074,0.5317859885490611,0.6007610500957717,0.43828779823993014,-1.4544813531578673,0.6301197219544524
Dark minimal techno,Dissonance,0.3075222105160307,1.3555691650149029,0.05146471981095121,0.8205338744048136,-2.3493933529131787,2.9644377739452406
Dark minimal techno,Dynamic complexity,-0.07219226107604806,1.1426277923554433,0.003991827096887325,0.9496224478548819,-2.311742734092717,2.1673582119406207
Dark minimal techno,Pitch salience,-0.4849011400981922,4.479566999211634,0.011717483141311715,0.9137995063891917,-9.264852458552992,8.29505017835661
Dark minimal techno,Spectral centroid,-0.1948313908791966,1.1673575996520302,0.027855440577100207,0.8674491325211915,-2.482852286197176,2.0931895044387825
Dark minimal techno,Spectral complexity,0.3356364128534559,2.8539420271485105,0.013830817408325476,0.9063810426183876,-5.2580899603576245,5.929362786064537
Dark minimal techno,Spectral decrease,-0.48545358998018023,2.3747032250774778,0.041790421363232695,0.8380197886932836,-5.139871911132036,4.168964731171676
Dark minimal techno,Spectral energyband high,0.20434008742560517,5.6606690662422405,0.001303081616305658,0.9712040402124446,-10.890571282409187,11.299251457260397
Dark minimal techno,Spectral energyband low,0.025770398266402636,1.7486656375116925,0.00021718444075258996,0.9882418581335745,-3.4016142512565146,3.45315504778932
Dark minimal techno,Spectral energyband middle,0.31835864711607975,5.904213350155986,0.002907429656806194,0.9569984348073934,-11.253899519189654,11.890616813421813
Dark minimal techno,Spectral entropy,0.23661682630261568,3.407241931627276,0.004822645134266573,0.9446351978642826,-6.441577359686846,6.914811012292077
Dark minimal techno,Spectral kurtosis,-0.20506981018144055,2.3316979994965537,0.007734974007694523,0.929917448738052,-4.775197889194686,4.365058268831804
Dark minimal techno,Spectral rolloff,-0.2349093408778927,3.972683847664134,0.00349649219715472,0.9528476526654671,-8.021369682299595,7.551551000543809
Dark minimal techno,Spectral skewness,0.3252558358114711,3.7945745558781967,0.007347236413913769,0.9316921653540576,-7.112110293709795,7.762621965332737
Dark minimal techno,Spectral spread,-0.4216060050506332,1.9352040969759308,0.0474635290875353,0.8275372112960664,-4.214606035123458,3.371394025022191
Dark minimal techno,Zerocr,-0.12780114138718351,3.209973123142298,0.0015851365236284407,0.9682415956406137,-6.419348462746087,6.16374617997172
Dark minimal techno,Mfcc1,-0.22241517630700777,2.836044790385598,0.006150390123926062,0.9374904466074243,-5.78106296546278,5.3362326128487645
Dark minimal techno,Mfcc2,0.5289692043743817,2.546887333842746,0.04313614304468,0.8354691333603221,-4.4629299699574005,5.520868378706163
Dark minimal techno,Mfcc3,0.8996792869100639,1.4756090749278208,0.3717344485842606,0.5420603597223115,-1.9925144999484647,3.791873073768593
Dark minimal techno,Mfcc4,0.14750296583023148,0.9791436768501729,0.022693874986399173,0.8802558690275231,-1.7716186407961074,2.06662457245657
Dark minimal techno,Mfcc5,0.14667165503507545,0.932138751135917,0.024758895066931796,0.8749693358192772,-1.6803202971913218,1.9736636072614728
Dark minimal techno,Onset rate,-0.2701841557802865,0.6439118183777145,0.1760625397466621,0.6747790990484066,-1.532251319800607,0.9918830082400341
Dark minimal techno,Chords changes rate,0.5476355541477217,0.6424273648833675,0.7266666155826461,0.3939658065954601,-0.7115220810236785,1.806793189319122
Dark minimal techno,Chords number rate,-1.0292054491073013,0.7243677050606553,2.0187660593430334,0.15536535089176176,-2.4489661510261858,0.390555252811583
Dark minimal techno,Key scale,-0.06827329214957092,0.48307587698168014,0.019974273319141266,0.8876089590723203,-1.015102011033664,0.8785554267345221
Dark minimal techno,Pulse clarity low,-0.33952950807657656,1.272857522824396,0.07115336786516503,0.7896648213551777,-2.8343302528123924,2.1552712366592393
Dark minimal techno,Pulse clarity middle,-0.30958411918648726,0.8986081959879858,0.11869067458929661,0.7304589198109037,-2.0708561833229395,1.451687944949965
Dark minimal techno,Pulse clarity high,-0.027556819254953003,1.275670316436352,0.0004666392606314111,0.9827655700279964,-2.527870639470203,2.4727570009602973
Dark minimal techno,Attack slope low,0.4316782250352504,0.9024725434106623,0.2287980341854572,0.6324165037077877,-1.3371679600496476,2.200524410120148
Dark minimal techno,Attack slope middle,-0.6002711202054654,1.697654528487046,0.12502482814851146,0.7236472931136151,-3.9276739960400753,2.7271317556291446
Dark minimal techno,Attack slope high,0.374105051251419,1.7787227487874144,0.04423546790596558,0.8334161352952631,-3.1121915363719133,3.860401638874751
Dark minimal techno,Spectral flatness low,-0.2234201267186237,3.323121323373027,0.004520143195928265,0.9463970023101693,-6.736737920529757,6.289897667092509
Dark minimal techno,Spectral flatness middle,0.39972878914322496,2.7147966606796703,0.02167984851894538,0.8829419702901083,-4.921272665788929,5.720730244075379
Dark minimal techno,Spectral flatness high,-0.27911274236444933,0.7480480354986072,0.1392195912007385,0.7090580799992919,-1.7452868919417195,1.187061407212821
Dark minimal techno,Attack time low,-0.251246627847302,0.7983017647141731,0.09905269686298075,0.7529694098921994,-1.8159180866870812,1.3134248309924772
Dark minimal techno,Attack time middle,0.13858329965717706,1.3613026359358662,0.010363642524637472,0.9189138563725683,-2.5295698667771207,2.8067364660914746
Dark minimal techno,Attack time high,0.17638613094416464,0.7936071751876345,0.04939894758032478,0.8241124693788414,-1.379083932423599,1.7318561943119282
Dark minimal techno,Spectral flux low,0.16585431057189365,1.0309031729891485,0.0258831884330989,0.8721859221615611,-1.8547159084868372,2.1864245296306244
Dark minimal techno,Spectral flux middle,-0.20285348720286706,2.1270278726952143,0.00909533278684974,0.9240213775136217,-4.371828117685487,3.966121143279753
Dark minimal techno,Spectral flux high,-0.32535085277730164,2.243399593656273,0.0210324868013555,0.8846904904196707,-4.722414056343597,4.071712350788994
Dark minimal techno,Bpm,0.7081338250790252,1.0842909217391041,0.42651964192850017,0.5137016671683525,-1.4170763815296188,2.8333440316876692
Psytrance,Loudness,0.23679914639438346,1.23430418658371,0.03680576602106354,0.8478610442434136,-2.1824370593096885,2.656035352098455
Psytrance,Dissonance,0.7320441772901538,4.124042809355747,0.03150853794539866,0.8591106034007341,-7.351079729047109,8.815168083627418
Psytrance,Dynamic complexity,-0.5843263254468275,2.572885419269928,0.05157865513649723,0.8203387167006752,-5.627181747215887,4.4585290963222315
Psytrance,Pitch salience,-0.05523529238915987,7.309026938734189,5.7110266856861804e-05,0.9939703372427497,-14.38092809230817,14.270457507529851
Psytrance,Spectral centroid,-0.052833070886220655,2.8153196986999824,0.0003521731734627086,0.9850275556917506,-5.570859680338186,5.465193538565744
Psytrance,Spectral complexity,0.2612672591632928,5.999021059366431,0.0018967461254234812,0.9652617936530196,-11.496814017194911,12.019348535521498
