,Loudness,Dissonance,Dynamic complexity,Pitch salience,Spectral centroid,Spectral complexity,Spectral decrease,Spectral energyband high,Spectral energyband low,Spectral energyband middle,Spectral entropy,Spectral kurtosis,Spectral rolloff,Spectral skewness,Spectral spread,Zerocr,Mfcc1,Mfcc2,Mfcc3,Mfcc4,Mfcc5,Onset rate,Chords changes rate,Chords number rate,Key scale,Pulse clarity low,Pulse clarity middle,Pulse clarity high,Attack slope low,Attack slope middle,Attack slope high,Spectral flatness low,Spectral flatness middle,Spectral flatness high,Attack time low,Attack time middle,Attack time high,Spectral flux low,Spectral flux middle,Spectral flux high,Bpm
Dark minimal techno,-0.4121808156017074,0.3075222105160307,-0.07219226107604806,-0.4849011400981922,-0.1948313908791966,0.3356364128534559,-0.48545358998018023,0.20434008742560517,0.025770398266402636,0.31835864711607975,0.23661682630261568,-0.20506981018144055,-0.2349093408778927,0.3252558358114711,-0.4216060050506332,-0.12780114138718351,-0.22241517630700777,0.5289692043743817,0.8996792869100639,0.14750296583023148,0.14667165503507545,-0.2701841557802865,0.5476355541477217,-1.0292054491073013,-0.06827329214957092,-0.33952950807657656,-0.30958411918648726,-0.027556819254953003,0.4316782250352504,-0.6002711202054654,0.374105051251419,-0.2234201267186237,0.39972878914322496,-0.27911274236444933,-0.251246627847302,0.13858329965717706,0.17638613094416464,0.16585431057189365,-0.20285348720286706,-0.32535085277730164,0.7081338250790252
Psytrance,0.23679914639438346,0.7320441772901538,-0.5843263254468275,-0.05523529238915987,-0.052833070886220655,0.2612672591632928,0.6281820879555712,-0.036647110830015914,-0.24315364232020936,-0.15149490866669577,0.3495196590822549,-0.02129151982790635,-0.25716225965196093,0.01634472832192834,0.1201418935461433,0.04194388722511611,0.6300041470410597,-0.15087749293508917,-0.4583448949020575,-0.024219637598786103,0.32374157735039144,0.7639802211329751,0.3142508888719353,0.32492171167872186,0.10416985182671432,0.1833649753274393,0.716575190349826,0.13927658037193086,-0.3162552758360008,0.2673748154709855,0.11002296544149306,-0.11746276274775448,-0.1554054140238112,0.3614304913469434,0.04791406085183542,-0.3006542806684343,-0.4630173954614002,0.5451943576133481,0.1864109242737552,-0.2198330723789716,1.6110219302295408
Progressive house,0.19095185693309474,-0.5864348063967703,0.26584531032933645,0.301449926670653,-0.19038927709286366,-0.9082210372298254,-0.36178151511357404,-0.017512084043797962,0.2661075290537577,-0.023294081131216657,-0.4874244727082961,0.38695676419643993,0.33170171469677207,-0.3156486560196067,0.6342236969505034,0.032463035630455,-0.19788238240170616,-0.25798956003788465,-0.05982806206778865,-0.31652542219866714,-0.5206072100976539,0.24031203904553075,-0.9994594576844723,0.22326331074715086,0.09920138427921958,-0.42277840106890613,-0.3451596075349041,0.013555654566410294,0.031807375765904325,0.17474568173967064,-0.7337011751785585,-0.15040530070755706,-0.6079859925476223,-0.17512696253658405,-0.3970725609207252,-0.07436121995135106,-0.003535434547969159,-0.2711020735697673,-0.4325301831742054,0.260869849898442,-0.4443706244342263
Dubstep,-0.01557018772577153,-0.45313158140941473,0.39067327619354025,0.23868650581670042,0.4380537388582816,0.31131736521307873,0.21905301713818384,-0.15018089255179196,-0.04872428499995091,-0.14356965731816856,-0.09871201267657351,-0.16059543418709274,0.16036988583307996,-0.02595190811379394,-0.3327595854460144,0.05339421853161082,-0.20970658833234618,-0.12010215140140645,-0.38150632994021844,0.19324209396722125,0.050193977712187116,-0.7341081043982197,0.13757301466481509,0.48102042668143036,-0.1350979439563633,0.5789429338180441,-0.06183146362843399,-0.12527541568338676,-0.14723032496515512,0.1581506229948099,0.24957315848564457,0.491288190173935,0.36366261742820827,0.09280921355408865,0.6004051279161913,0.2364322009626075,0.290166699065205,-0.4399465946154753,0.44897274610331717,0.28431407525782915,-1.8747851308743415
