,Loudness,Dissonance,Dynamic complexity,Pitch salience,Spectral centroid,Spectral complexity,Spectral decrease,Spectral energyband high,Spectral energyband low,Spectral energyband middle,Spectral entropy,Spectral kurtosis,Spectral rolloff,Spectral skewness,Spectral spread,Zerocr,Mfcc1,Mfcc2,Mfcc3,Mfcc4,Mfcc5,Bpm,Onset rate,Chords changes rate,Chords number rate,Key scale,Pulse clarity low,Pulse clarity middle,Pulse clarity high,Attack slope low,Attack slope middle,Attack slope high,Spectral flatness low,Spectral flatness middle,Spectral flatness high,Attack time low,Attack time middle,Attack time high,Spectral flux low,Spectral flux middle,Spectral flux high
minimal techno,-0.36956971153604656,0.31343963213614273,-0.45571186999841656,0.03608724755733147,-0.25495022454938715,0.028478384410054385,-0.9588984190672345,-0.2793365138181448,0.23528850297737913,1.1186531169193268,1.3405409987578678,0.22861991519330047,-0.6313275486077322,-0.2985182262896862,-1.1198322837037697,0.9223568913309265,-1.4016827029220877,0.3073830430863003,1.1952569833711,-0.2834197281911391,0.46000916794865215,-0.17416610822097353,-0.41890688392793024,0.4950851731364214,-0.5014234523493385,0.05328706727558806,-0.44904649261479723,-0.2614259696790546,0.1420030480545977,0.5715235538613432,-0.48553555400167897,1.388879121151234,-0.2519712363003902,0.22052127299834762,-0.41896665504349395,-0.47314650338458447,0.15513989125877933,-0.043264170101453434,0.03480045675021738,0.37033058468803476,-1.5312911268812803
psytrance,0.07046402640720871,0.9161885393617454,-0.24247282683862117,0.22060473655396573,0.27356160233612864,0.6199347068394011,0.8148092647824758,0.6430623747820496,0.39889365771176066,-1.1893273835245104,-1.2650825336007203,0.09398261630214544,-0.28243871116922264,0.014503449252889756,0.8420245230088335,0.2467398032215172,0.8110917306194363,0.5607697599802299,-0.30730758974472844,0.06438533712747033,-0.15808237034897887,0.40346473967903695,0.77933678637606,0.18388990672269692,-0.05919727480238116,-0.17299668673283072,0.44120764995241407,0.2409743431511514,0.18771236374489836,-0.4305346795119988,0.5170706456055988,-0.7187326796150905,-0.00014451351114494818,-0.008563000392495,-0.023387711033029397,-0.13836650974009881,0.0033681882585019332,0.058327496716979566,1.770746079094557,-0.5515480867737037,-0.7451804601857202
progressive house,0.06520124247337084,-0.5706488239774986,0.29633542881000496,-0.17083845964443264,-0.18525968706329102,-1.1588095183732041,-0.5211148446713849,-0.3672875642316416,-0.1456496977766241,0.3155930198193017,0.529857424313754,-0.019561094296063786,0.14457971031887465,0.13018535236430992,-0.7620977765714401,0.3822052392739988,1.1269599269997443,-0.2202362456736043,0.24489731230148126,0.018321562520917968,-0.008708181360385292,-0.3683256155620664,0.03470409900785506,-0.46596266865588126,0.0539843193388929,0.14013582459624072,-0.38465841582343036,-0.24796082688298218,-0.12827838604936956,-0.17227133889476032,0.3361793866108681,-0.21523129280035205,-0.18270377499600834,0.034011605094503995,0.15134838552796692,-0.4646908311559986,0.10069792271075123,-0.011366615746127554,-0.3996148775606946,-0.9523632757054257,0.6822936156688408
dubstep,0.12566473137033563,-1.15113060320841,0.45827066793443,-0.2038199387549216,-0.02357423194552098,0.2852856720385584,0.06715193116429088,-0.4131901932618762,-0.7073841075944168,0.667135476341233,0.3514542121586124,-0.3343617079684389,0.8559754371662149,0.08235769271248088,0.4431387295718039,-1.6652716967770373,-1.471685888564297,-0.9560100714742992,-0.805978929714048,0.11599359364417591,-0.1224127833870286,-0.09874253334813189,-0.9927591168908237,-0.19493380955265835,0.4722632484263096,0.08175287277214396,0.09539798509515843,0.11049180224709652,-0.2901050502403535,0.4322996890376913,-0.8450239302015098,0.25932684221546926,0.4330188078776793,-0.21689888933220378,0.22617634344401877,1.1886925178483008,-0.2583399752093424,-0.04760410148249917,-2.5523614926401037,1.7247805924488842,1.789418037974372
