Row,Column,Value
0,8,-9.384067239680956
1,8,-22.30420995376362
1,11,-8.042708552395842
1,49,-7.258143388272783
1,52,-12.666308374857895
2,4,-9.040820326222079
2,8,-43.34529038864855
2,9,-7.981368840733702
3,6,-75.53280774885319
3,14,-7.41909555483872
3,15,-6.459343884887854
3,18,-29.90628077801822
3,51,-16.588234101876115
3,70,-12.359823156179512
3,71,-22.184806882896773
