,Loudness,Dissonance,Dynamic complexity,Pitch salience,Spectral centroid,Spectral complexity,Spectral decrease,Spectral energyband high,Spectral energyband low,Spectral energyband middle,Spectral entropy,Spectral kurtosis,Spectral rolloff,Spectral skewness,Spectral spread,Zerocr,Mfcc1,Mfcc2,Mfcc3,Mfcc4,Mfcc5,Onset rate,Chords changes rate,Chords number rate,Key scale,Pulse clarity low,Pulse clarity middle,Pulse clarity high,Attack slope low,Attack slope middle,Attack slope high,Spectral flatness low,Spectral flatness middle,Spectral flatness high,Attack time low,Attack time middle,Attack time high,Spectral flux low,Spectral flux middle,Spectral flux high,Bpm
minimal techno,-0.7523577868127864,1.8124930406650832,-0.5622049826788892,-1.8971745895847394,-0.05607347430516681,-0.9179891787460156,-2.945525642826586,-1.2310841289398,-0.7954666926176487,2.783477281522168,0.40240620531406146,0.16763909290208845,0.6336824086697804,0.5966908986204204,-2.5785457914605243,2.1494038505716047,1.7266004426553507,0.5837937895167273,2.841101722552111,-0.30050345496479985,0.01579472063648432,-0.8173102279733689,0.5941572511562191,-1.273635486201991,-0.11651776471289925,-1.0028888725303153,-1.0723200610072179,0.05206383119813217,1.148404387387501,-2.42310543191342,3.620560327468841,-0.8315161748488152,0.006360160402878024,-0.771825097937278,-0.7573948263765395,0.5146931397893458,-0.370826026605515,-0.6574589618466191,0.7526148944048752,-1.9794239046589375,3.4247216361441835
psytrance,0.44951939418822834,1.6769463979937458,-0.40050543516221376,0.9573214375370209,1.9851494082465497,4.59898844127898,0.11516448768714273,1.943002107362295,-0.7008374864885187,-3.382400137522161,-2.945709770377703,-4.168215553544101,-2.6533271308011566,7.804692307987477,3.105471620787955,0.7144754750523334,5.461259676633579,0.02450367093907198,-1.014359197643964,1.5146628853084143,-0.7456334833639723,1.4040950550160447,1.2661039749141938,-0.12503132177178253,-0.1316679734873409,-0.4894524727170323,0.09026826771675339,0.018961542509576046,0.6011376830330758,2.6452880188900663,-1.3997512821936726,0.3926714312764067,-0.5025001148270443,-0.018855317844189,-0.7016082387017953,0.8570530432535537,0.008268919821860303,1.8574888344907714,-3.839063984727419,-0.37306540079633715,8.946293783053763
progressive house,0.5287558061962314,-0.42601128293400675,0.8229356825715123,-2.1060028591146187,-0.4832240884720769,-2.518666157024785,-1.827129630251108,0.7876099775643666,-0.998097224418986,-1.5623843998483478,-2.9438896437361795,4.3056614439832845,5.351938106535607,-4.507824391540807,1.1683276081813083,-1.8609263926668813,3.7100450141003853,0.6672261852996663,-0.5970879568360076,-1.3116214424046564,-0.7144821774239399,0.02036063786705778,-1.2367792293266069,-0.28709444625140873,0.3521933938384538,-2.022815550696492,-1.3864851714984354,-0.8302366593457888,0.7408918773502884,0.2989353841269211,-1.147177017520092,-0.2571057749046749,-1.1375929268483924,0.10953933314432492,-0.3685906604577014,-0.2713482010544737,-0.3056814999561764,-0.1499753481046812,-2.4726641607280566,1.2045852602138019,2.649031419695885
dubstep,-0.22591741357167333,-3.063428155724822,0.13977473526959056,3.045856011162337,-1.4458518454693057,-1.1623331055081783,4.657490785390552,-1.4995279559868613,2.4944014035251536,2.161307255848341,5.4871932087998205,-0.30508498334127315,-3.332293384404231,-3.8935588150670872,-1.6952534375087391,-1.0029529329570566,-10.897905133389312,-1.2755236457554655,-1.2296545680721394,0.09746201206104248,1.4443209401514279,-0.6071454649097334,-0.6234819967438058,1.685761254225182,-0.10400765563821371,3.5151568959438393,2.3685369647889,0.7592112856380807,-2.490433947770865,-0.5211179711035671,-1.0736320277550762,0.6959505184770834,1.6337328812725584,0.6811410826371421,1.827593725536036,-1.1003979819884255,0.668238606739831,-1.050054524539471,5.5591132510506,1.1479040452414724,-15.02004683889383
