loudness,dissonance_mean,dynamic_complexity,pitch_salience_mean,spectral_centroid_mean,spectral_complexity_mean,spectral_decrease_mean,spectral_energy_mean,spectral_energyband_high_mean,spectral_energyband_low_mean,spectral_energyband_middle_mean,spectral_energyband_middle_high_mean,spectral_energyband_middle_low_mean,spectral_entropy_mean,spectral_kurtosis_mean,spectral_rms_mean,spectral_rolloff_mean,spectral_skewness_mean,spectral_spread_mean,zerocr_mean,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma12_mean,bpm,danceability,onset_rate,chords_changes_rate,chords_number_rate,chord,chord_strength,chord_scale,key,key_scale,key_strength,meter,pulse_clarity_mean,pulse_clarity_low_mean,pulse_clarity_middle_low_mean,pulse_clarity_middle_mean,pulse_clarity_middle_high_mean,pulse_clarity_high_mean,attack_slope_mean,attack_slope_low_mean,attack_slope_middle_low_mean,attack_slope_middle_mean,attack_slope_middle_high_mean,attack_slope_high_mean,spectral_flatness_mean,spectral_flatness_low_mean,spectral_flatness_middle_low_mean,spectral_flatness_middle_mean,spectral_flatness_middle_high_mean,spectral_flatness_high_mean,entropia_clarity,entropia_clarity_low,entropia_clarity_middle_low,entropia_clarity_middle,entropia_clarity_middle_high,entropia_clarity_high,attack_time,attack_time_low_mean,attack_time_middle_low_mean,attack_time_middle_mean,attack_time_middle_high_mean,attack_time_high_mean,spectral_flux_mean,spectral_flux_low_mean,spectral_flux_middle_low_mean,spectral_flux_middle_mean,spectral_flux_middle_high_mean,spectral_flux_high_mean
0.9843499660489999,0.493292659521,2.67601108551,32.832485199,0.00467653945088,2323.4387207,24.4512863159,-7.842856142300001e-09,0.0326462946832,0.00298300292343,0.0217867605388,0.00428610574454,0.00445352168754,8.00766277313,3.21224284172,0.00527487508953,2348.73217773,1.0269254446,4509758.5,0.06971613317730001,-633.233825684,96.7581481934,-2.74067664146,40.9696083069,19.5545768738,16.8407001495,10.0258026123,14.4168996811,6.06081199646,8.00625991821,2.67359423637,3.9344668388399997,5.57189416885,0.101982861757,0.0726111605763,0.0698178708553,0.0953897163272,0.106961198151,0.085185803473,0.062183052301400005,0.0586020387709,0.0585854612291,0.0513091348112,0.0441295690835,0.0505669079721,129.885421753,2.98843336105,5.17334365845,0.0482866056263,0.00623052939773,10.0,3.51930117607,1.0,10.0,1.0,0.524051249027,3,0.212118476629257,0.7494844198226921,0.10803858935832901,0.102979071438312,0.06201777979731501,0.038072425872087,15.803565855369936,9.18457000485648,4.122670381452714,4.8256595875866335,4.426252033813955,4.368025844907868,0.0017274793866740002,4.4674516756768845e-05,0.000380734419499,0.0032119938569060004,0.006701200868477,0.012197555552153001,2.321241378784179,5.983095645904541,5.574007987976074,5.841079235076904,5.74831485748291,5.4950690269470215,0.002241019214703,0.0040075386879890006,0.002202643171806,0.0008129450610650001,0.000787657206788,0.000746111310021,0.29285279926093305,0.195910522603489,0.09779817905096201,0.10707607846969401,0.09623927062126601,0.1000394324928
0.9795629978179999,0.486074894667,1.95087039471,19.336769104,0.00857365503907,2105.21166992,12.1301641464,-1.7559802501e-08,0.0700215920806,0.00454555219039,0.058768697083,0.00109176174738,0.00773801235482,8.07744884491,0.237615853548,0.00769656570628,1909.35791016,0.588283896446,7624048.0,0.0746773481369,-635.352233887,47.7369155884,64.5225982666,57.282043457,25.6189041138,18.2043933868,-10.035700798,17.0909690857,17.4226131439,27.8157329559,7.13289403915,-5.79640817642,-7.29097080231,0.09239347279070001,0.0756291747093,0.0556120760739,0.0530031882226,0.0541026033461,0.06553536653520001,0.126771241426,0.265543222427,0.30416017770799997,0.207360997796,0.152394920588,0.121815666556,136.746704102,1.5421251058599998,3.72883844376,0.06542056053880001,0.00934579409659,1.0,2.72203421593,1.0,4.0,1.0,0.493908971548,3,0.20143960416316903,0.762994825839996,0.044543147087097,0.032762166112661,0.085441842675209,0.081456132233142,25.066628085274395,16.872251510591525,8.070880299006408,4.855028957307419,5.019222250289026,5.350710441563365,0.0012485356874470002,1.903962216606875e-05,0.00021898292931000002,0.005989121448278001,0.005989267590822,0.010645253632397001,2.318895101547241,6.057713031768799,4.997432708740234,5.70847749710083,5.893197059631348,5.769504547119141,0.00205018646577,0.0036598263095000004,0.002176589644122,0.0008261651768140001,0.0007477371113730001,0.0007603867993470001,0.36722500275394904,0.302972470108472,0.13598024225116,0.071307883820903,0.075697865430411,0.08071667352670801
0.9343185424799999,0.486632525921,3.76137018204,10.0319604874,0.127825409174,1375.98291016,8.57677364349,-2.07914236938e-08,0.0796597898006,0.0006723700789730001,0.0723015740514,0.00135658076033,0.00719235325232,7.76842737198,2.00905418396,0.00779196666554,488.214782715,1.03416240215,5148980.5,0.030188567936400002,-679.77331543,94.1168441772,21.3813972473,39.5913963318,16.5997924805,32.3476448059,21.5948467255,23.672832489,7.37256526947,14.4491214752,4.36334705353,2.38511133194,0.8342050910000001,0.123299486935,0.0924456715584,0.0967799499631,0.0836714580655,0.07523614168170001,0.0964497029781,0.115955777466,0.137180835009,0.150534555316,0.129773035645,0.09721124172210001,0.089833907783,128.253875732,1.11048769951,5.47568178177,0.172897189856,0.00934579409659,5.0,2.88466095924,1.0,5.0,0.0,0.453654080629,2,0.22641098499298,0.8175999522209161,0.236249476671218,0.06996724009513801,0.007071311119943,0.0011670524254440001,18.467991515007082,13.125239382739176,5.080701380873293,2.906888003596631,1.8915113365321372,1.795072015689578,0.0007105245000080001,0.00017432478642300002,0.000303687810279,0.003601325995317,0.010615137818243001,0.018775338283309,2.313782930374145,5.931504726409912,5.712910175323486,4.406945705413818,4.975592613220215,5.60892915725708,0.0030080575919680004,0.004203927525702001,0.0024542296393100004,0.000864775178364,0.0007688734030190001,0.00077860737791,0.32527373948882105,0.27256110021975605,0.12219722217884502,0.059707779567018004,0.035684079367591,0.035199657693237005
0.9889851212499999,0.47015812992999995,1.25701797009,6.06845617294,0.00155884644482,1110.52868652,17.2252540588,-4.2979454661899996e-08,0.16516622901,0.00181644468103,0.145731002092,0.00441568810493,0.014044930227100001,7.56735086441,3.88282990456,0.012362129055,239.129455566,1.40484070778,4802845.0,0.021941067650900002,-632.290771484,135.346191406,19.6957874298,37.4890403748,11.191819191,19.9863395691,10.8180818558,17.3695907593,8.44365024567,12.3263664246,2.42195940018,13.4094076157,8.36457443237,0.0600711740553,0.0621128380299,0.0523553788662,0.0472415350378,0.046369455754800004,0.043018680065900004,0.0402445718646,0.0491663403809,0.0600950755179,0.0707496851683,0.0733239427209,0.0525414757431,130.661849976,2.9754688739799997,8.700623512269999,0.0623052977026,0.00623052939773,10.0,2.17230558395,0.0,10.0,0.0,0.606305301189,2,0.19994644820690102,0.9053008556365961,0.033741295337677,0.037582766264677006,0.012470711022615,0.010636568069458001,28.162505732591832,18.11837951278749,9.92437564450303,7.599646753658121,4.413639048030077,4.568371250693891,0.000346768547983,7.575370388396808e-06,0.00010166352310700001,0.0025855571924030003,0.010500838489623,0.018228326998098003,2.3216192722320548,5.99909782409668,5.930033206939697,5.699419021606445,5.721888065338135,5.753693103790283,0.001916143548796,0.004205955226363,0.0016666228911120001,0.000846619213966,0.0007452350309490001,0.0007263239916300001,0.43973783218244905,0.343081090173717,0.153386340273984,0.09414485897373301,0.053789977153328006,0.056821865564524
0.664329171181,0.488821208477,1.5160722732499998,30.3473453522,0.00155884644482,2043.27685547,28.9851913452,-2.91764283844e-08,0.114490643144,0.00367872952484,0.0987535640597,0.00517221679911,0.00763856107369,8.08323574066,1.91826677322,0.00941487308592,1973.48034668,1.0443944931,5739745.0,0.0763370469213,-587.635192871,71.3390045166,12.6088790894,38.6078910828,22.3531265259,25.4384899139,-1.81681025028,3.79250717163,12.0853099823,3.63459277153,0.532071232796,2.72678565979,9.11061859131,0.14624658226999998,0.129602119327,0.11672266572699999,0.106948055327,0.100242450833,0.119381196797,0.143611416221,0.151311293244,0.156942635775,0.155804619193,0.147473037243,0.145707249641,130.579559326,0.902578294277,4.33351516724,0.08566977828740001,0.0124610587955,7.0,3.13990259171,1.0,5.0,0.0,0.531434237957,2,0.200297802686691,0.622624576091766,0.055262155830860006,0.09474716335535001,0.08496368676424,0.14389142394065801,20.468698274568727,13.332869255899585,5.628945121896653,5.275153295337663,3.613048929294621,3.656808317920345,0.002532527149984,0.000158164917794,0.000312997867452,0.004683037162910001,0.010229409829088001,0.018852403340773,2.3213295936584473,5.681937217712402,5.51745080947876,5.308090686798096,5.332968235015869,5.263670444488525,0.0020733566496270004,0.003692598082063,0.001694633408919,0.0007792894935750001,0.000764894412141,0.0007165026159430001,0.269498731643661,0.19829311369333802,0.094448304246872,0.07699946506482301,0.057710678166533004,0.066588397996269
0.9875009059909999,0.473391860723,1.9596105814,11.5907487869,0.00545596238226,1065.7635498,15.0732660294,-3.32282468207e-08,0.127691060305,0.00130861764774,0.11567081510999999,0.00335362832993,0.00884443242103,7.45060777664,7.87324571609,0.010057098232200001,675.38684082,1.82088696957,5055109.5,0.0319730974734,-663.426269531,122.463951111,33.4813690186,37.113117218,18.5891151428,20.3829231262,13.5696563721,19.9174747467,10.4784412384,7.70553541183,4.57754945755,6.58658981323,5.04748058319,0.158663660288,0.12023759633299999,0.07487069815399999,0.0519009232521,0.046584401279700004,0.053121194243400005,0.0667685717344,0.0898227840662,0.108182631433,0.0931199491024,0.0513095147908,0.024543050676600002,126.762168884,2.49796557426,4.77022600174,0.133956387639,0.0124610587955,5.0,2.7624297142,0.0,5.0,0.0,0.365112900734,2,0.201309621334075,0.8795887231826781,0.025561381131410002,0.072836339473724,0.024272147566080003,0.004289526492357001,22.174779456109658,-inf,6.744630141030023,5.143493219254712,2.248408427487001,2.362649328747966,0.0013061979790820002,1.7994645591022882e-05,0.00012634889787,0.0025199397235620004,0.012374215408385,0.027410775781795002,2.317256450653076,5.931725978851318,5.557914733886719,4.690781593322754,5.029901504516602,5.345515251159668,0.0024723094365950004,0.0034822518751090005,0.001902581545438,0.0011459968602820002,0.0008480507587650001,0.000859497645211,0.46450307428930104,0.36463079101905904,0.142687368327649,0.10266205049316601,0.058617720623094005,0.059121181113872004
0.9888955950739999,0.470929950476,1.8090568780899998,5.72266817093,0.021823849529,829.381347656,11.3413877487,-4.81055870694e-08,0.18337161839,0.000551743607502,0.174444049597,0.00221202592365,0.00703360233456,7.27065324783,4.88516807556,0.012199732474999999,338.21762085,1.52002871037,4028156.5,0.0159739889205,-703.559631348,142.881149292,15.7918252945,53.1529197693,16.4115810394,32.5988044739,13.2614507675,19.9085521698,13.2189826965,15.158782959,9.34164810181,7.91822814941,7.55631637573,0.106514334679,0.186503350735,0.289076060057,0.298896849155,0.263054281473,0.270394861698,0.218275979161,0.134823769331,0.0921516343951,0.054978393018200004,0.0264863204211,0.0192341767251,106.897491455,7.44115304947,6.55066251755,0.20560747385,0.0186915881932,11.0,2.75218486786,0.0,3.0,0.0,0.457998812199,2,0.20022188127040802,0.958731114864349,0.016477845609188,0.021433303132653,0.0035213211085640002,0.000945676118135,11.950291727635435,9.300897210400429,3.54878103337742,2.067578368431087,1.096433162059339,0.9585147762664581,0.00037447228291300004,2.2520441426775244e-05,0.00016163305226400001,0.003100418105259,0.018169451620693,0.029778734081997,2.319836854934692,5.700002193450928,5.364245891571045,5.3108906745910645,5.103693008422852,4.847116947174072,0.0027210884353740003,0.003812115322319,0.002462369074613,0.001189180434078,0.000831335708886,0.000820645718604,0.320215263720222,0.27186652044117005,0.092893172352806,0.05433265234931001,0.028112159565335002,0.025395147334813004
0.983630895615,0.482855916023,3.59862875938,32.8326950073,0.137957915664,1566.54602051,13.3967266083,-3.6934281411e-08,0.143307223916,0.00343846785836,0.133065313101,0.0035582636483,0.00407127384096,7.69464635849,4.20930242538,0.00924688111991,2044.40808105,1.6032127142,5907652.5,0.07221805304290001,-687.782470703,97.1930618286,14.0199365616,13.5259094238,13.3341808319,14.0824575424,13.2048225403,21.2203178406,18.4827251434,11.1870231628,18.621843338,16.5223884583,6.77372217178,0.156889766455,0.140694394708,0.14110262692,0.124894447625,0.127851635218,0.130600333214,0.102018043399,0.0947896763682,0.11529152095299999,0.0923964977264,0.0635084137321,0.0796709433198,135.018356323,3.23308420181,5.37490224838,0.060747664421800004,0.00778816221282,1.0,2.86627435684,0.0,1.0,1.0,0.336835026741,2,0.19974535703659002,0.985899746417999,0.005413356702774001,0.005120929330587,0.0018306933343410002,0.000462249998236,-inf,-inf,4.638850194590026,3.697885980135646,1.846620975612724,1.770147482867217,0.002821581478079,0.00047882535729500006,0.000998396186628,0.004218199900733,0.018638914986068,0.029203142423986004,2.313651323318481,6.044211864471435,5.567422389984131,4.904998779296875,4.536314964294434,4.771511554718018,0.0029777716075090003,0.0034081019795300003,0.0027675124103690002,0.0013768954293730002,0.000860443950822,0.000827124500593,0.419913569468194,0.320723726914784,0.10175052042817301,0.081253347820012,0.05970994977889701,0.070867191984482
0.988182902336,0.483449757099,1.52275502682,23.0613174438,0.00389711605385,2068.76220703,12.1363992691,-1.0850252252199999e-08,0.0437500216067,0.00379827967845,0.035816423595,0.00163155223709,0.00323156174272,7.9403924942,1.37294793129,0.00623871060088,1622.07189941,0.9567812085149999,6993624.5,0.0690036937594,-662.98638916,56.6787986755,52.9905204773,52.3480110168,16.4099349976,20.7097454071,20.1378211975,13.846997261,10.9062290192,12.9048986435,4.13038539886,7.34376764297,6.60787153244,0.280475825071,0.202088370919,0.127304762602,0.10397354513399999,0.0761790946126,0.0741170793772,0.08525075763460001,0.0850773081183,0.10167899727799999,0.135844647884,0.135624110699,0.0997775048018,128.024200439,1.64149236679,5.37490224838,0.147975072265,0.0124610587955,7.0,2.31604552269,1.0,2.0,0.0,0.455048441887,2,0.20180040597915602,0.43017479777336104,0.031662121415138,0.046268843114376006,0.38520547747612,0.11569072306156102,28.689935521753945,19.29016113612415,8.411966095798162,7.393484196360627,7.093922322917171,6.516105477711712,0.0017413531622040002,2.124685389026153e-05,0.00028204318797,0.005710915583184001,0.010233947601851002,0.019727080325195,2.320517539978027,5.862183094024658,5.204718112945557,5.693877696990967,5.865572929382324,5.8091983795166025,0.0018949784214760002,0.0036526223392580005,0.002108386365298,0.0008483285787430001,0.0007183088289070001,0.0006911528052080001,0.39809062976699106,0.29450944867655504,0.130494778529858,0.11081918711440202,0.11248175030303101,0.10210978126966601
0.986995577812,0.476677149534,2.02270674706,13.8403091431,0.022603273391700002,1676.56542969,9.65393638611,-1.75768182231e-08,0.0694089010358,0.00332494173199,0.0593376494944,0.00100920838304,0.00635017454624,7.61949968338,3.2859146595,0.00771905109286,2033.55102539,1.23346507549,7640520.5,0.06521694362160001,-691.896606445,79.8424758911,71.2125244141,35.0922241211,20.1253128052,21.2935886383,20.0772457123,20.7988185883,9.62035655975,11.3249816895,7.10170650482,4.78757429123,4.29260396957,0.30802065134,0.256906986237,0.224389597774,0.181875288486,0.114774934947,0.091423176229,0.060338556766500004,0.0236896649003,0.0182537250221,0.0159119460732,0.0145669179037,0.019071817398100002,127.134613037,1.70980370045,3.22494149208,0.176012456417,0.0124610587955,1.0,2.8620924949599997,0.0,9.0,1.0,0.604409515858,5,0.200890779495239,0.781884133815765,0.025171888992190004,0.022422317415475002,0.095025673508644,0.079949766397476,20.911046992264833,17.33958177116084,5.334426279292631,2.5794832372177483,2.272193550172929,3.279037118385449,0.0016731194733700001,3.0257166452623036e-05,0.00020065686652200003,0.005367519717706001,0.011847921517572002,0.018756401909826,2.302099466323852,5.948665618896484,3.6435904502868652,5.304290771484375,5.732336521148682,5.719912528991699,0.0027653307699890004,0.004131321016566001,0.002774122399415,0.0012508828668070001,0.000723641004671,0.000827354621265,0.41949186038010106,0.33320841444758204,0.16078008915675102,0.091763201719135,0.085021009751419,0.096417116029304
